Date	Land_LCBKK005
1978-12-31	-10.110615033029035
1979-12-31	-7.822234495928713
1980-12-31	-4.307701900322947
1981-12-31	-0.7871280870072911
1982-12-31	-0.3613300153232746
1983-12-31	-0.23253227253868802
1984-12-31	0.35905930865973157
1985-12-31	1.2823843785279205
1986-12-31	0.08650921689801472
1987-12-31	-0.5748587953003814
1988-12-31	-0.11825793072282043
1989-12-31	-0.46703013778230384
1990-12-31	-0.5398465959517651
1991-12-31	-1.420058363138177
1992-12-31	-5.1979287385657935
1993-12-31	-16.915089333045728
1994-12-31	-20.583943399920656
1995-12-31	-15.0937982041642
1996-12-31	-12.06634310449991
1997-12-31	3.7388511897574084
1998-12-31	3.2985305890106287
1999-12-31	-0.6621861062390821
2000-12-31	-0.22747337177848603
2001-12-31	1.020113535906808
2002-12-31	3.515423080122415
2003-12-31	1.3956700562592461
2004-12-31	1.9894477196267468
2005-12-31	2.449598572143452
2006-12-31	0.15332233529932182
2007-12-31	-0.8038324478845449
2008-12-31	1.467653936915836
2009-12-31	4.260527771464462
2010-12-31	0.9467752835179088
2011-12-31	0.025793022671705135
