Date	Land_LCBKK011
1985-12-31	-1.479101076843724
1986-12-31	-0.9650746744037183
1987-12-31	-2.4230869440280065
1988-12-31	-2.048750012401009
1989-12-31	-1.3849374832371248
1990-12-31	-2.145210665956532
1991-12-31	-2.9302392193306828
1992-12-31	-3.898451078131681
1993-12-31	-10.925650352086002
1994-12-31	-13.906510878618086
1995-12-31	-11.71677375641513
1996-12-31	-11.142768544301205
1997-12-31	-2.330107291650186
1998-12-31	-0.2217267118457127
1999-12-31	-1.6282725624947556
2000-12-31	-2.0694748003448673
2001-12-31	-1.2709487737281502
2002-12-31	2.157441185569521
2003-12-31	0.21922179710927536
2004-12-31	0.6263185365328181
2005-12-31	2.491169075339969
2006-12-31	-0.6878154615196899
2007-12-31	-1.3519431149783743
2008-12-31	0.5114718220441907
2009-12-31	3.104389780346806
2010-12-31	1.04325573788006
2011-12-31	0.403821108605828
