Date	Land_LCBKK018
1978-12-31	-0.09006797247583873
1979-12-31	-0.08755680881205329
1980-12-31	-0.08505803625339
1984-12-31	-454.97442666155837
1985-12-31	-193.90766565965015
1986-12-31	-109.16012243325319
1987-12-31	-75.16382889685893
1988-12-31	-56.5835315709613
1989-12-31	-45.090297142366964
1990-12-31	-37.810632702778335
1991-12-31	-32.41585148583468
1992-12-31	-28.77341202757222
1993-12-31	335.59419426521123
1994-12-31	83.47689576017245
1995-12-31	11.463081338348857
1996-12-31	4.510436068924761
1997-12-31	2.9381115189913487
1998-12-31	2.2440379666594623
1999-12-31	1.7797953930255517
2000-12-31	1.4588222884171387
2001-12-31	1.1884376476825054
2002-12-31	0.9689359666182895
2003-12-31	0.7971299482697702
2004-12-31	0.6510945177609528
2005-12-31	0.5323071626424536
2006-12-31	0.43730389957232774
2007-12-31	0.3555565607371136
2008-12-31	0.2933654013791198
2009-12-31	0.23909507986452638
2010-12-31	0.1954040953684455
2011-12-31	0.1607742469033724
2013-12-31	0.10737780108271977
2015-12-31	0.07172817802967302
2016-12-31	0.059177247733543936
2017-12-31	0.04814809935638209
2018-12-31	0.03941853431257414
