Date	Land_LCBKK011
1985-12-31	-1.0436705299591398
1986-12-31	-1.7980860583758878
1987-12-31	-2.3861987889157508
1988-12-31	-2.1672792234781464
1989-12-31	-2.2313944700401223
1990-12-31	-1.731677825321217
1991-12-31	-1.9580433770855823
1992-12-31	-3.483053361374062
1993-12-31	-10.624733784364464
1994-12-31	-13.677155187497949
1995-12-31	-12.174102250644383
1996-12-31	-10.956014173970907
1997-12-31	-1.8573675021412623
1998-12-31	-0.2665618281812443
1999-12-31	-2.4470163624065555
2000-12-31	-1.1453226014000828
2001-12-31	-1.0345071406508082
2002-12-31	1.1856528607035652
2003-12-31	1.2910575654182919
2004-12-31	1.7006903170762326
2005-12-31	1.6508264506694137
2006-12-31	0.5649438414549784
2007-12-31	-0.5621970905986471
2008-12-31	0.0021538391392454947
2009-12-31	3.5280132899129097
2010-12-31	0.35971413651026696
2011-12-31	0.022516183354700126
